semester_code,course_code,ga,assessment_title,status,rubric_url,notes
7660,EIBS7304,GA6,A2 Wellbeing Polarity Leadership,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/EIBS7304/EIBS7304_Assessment%202_Wellbeing%20Polarity%20Map_Rubric_GA6%20Respectful%20Leaders.pdf,
7660,EIBS7311,GA2,A3 Final Business Model Report,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/EIBS7311/EIBS7311_AoL_gradebook_rubric_note_15Sep2026.md,
7660,FINM2415,GA5,A2 Groupwork Report (25%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM2415/FINM2415-Group%20Assignment-Marking%20Rubric.pdf,
7660,FINM3405,GA2,"A2 Case Study, groupwork (30%)",Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM3405/Group%20Assignment%20Marking%20Rubric.pdf,
7620,FINM3422,GA1,A1 Turnaround Case Study,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM3422/AoL%20mapped%20FINM3422%20A1-VantageCaseStudyRubric.pdf,
7620,FINM7101,GA2,A1 Data Analysis Task,Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7101/FINM7101-A1%20Rubric%20AoL%202026.pdf,
7620,FINM7103,GA6,A3 Oral Interview (20%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7103/FINM7103_S1%202026_A3_Rubric.pdf,
7620,MGTS3607,GA3,A1:Executive Summary,Active,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/MGTS3607/MGTS3607_A1_ES%20_Case%20Study_Rubric_(GA3).pdf,
7620,FINM7104,GA1,A2 Critical Analysis (60%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7104/FINM7104%20A2%20AoL%20Rubric.pdf,
7660,FINM7106,GA5,A3 Groupwork Presentation (40%),Awaiting LD check,https://uq.sharepoint.com/teams/bs3u7kls/Shared%20Documents/Curriculum%20Uplift%20and%20New%20Course%20Development/01.%20Assurance%20of%20Learning%20(AoL)/4.%20AoL%20(Sean)/FINM7106/FINM7106%20A3%20Group%20presentation%20AoL%20Rubric%202026.pdf,
